#t:   	x:        	y:        	z:        
0.000	-0.00244141	-0.00808716	0.00018311
0.025	-0.00250244	-0.00811768	0.00012207
0.050	-0.00247192	-0.00811768	0.00021362
0.075	-0.00250244	-0.00802612	0.00015259
0.100	-0.00253296	-0.00808716	0.00012207
0.125	-0.00247192	-0.00036621	0.00018311
0.150	-0.00250244	-0.00811768	0.00015259
0.175	-0.00250244	-0.00811768	0.00015259
0.200	-0.00250244	-0.00808716	0.00015259
0.225	-0.00250244	-0.00808716	0.00021362
0.250	-0.00247192	-0.00814819	0.00015259
0.275	-0.00247192	-0.00808716	0.00009155
0.300	-0.00250244	-0.00811768	0.00015259
0.325	-0.00250244	-0.00808716	0.00015259
0.350	-0.00253296	-0.00805664	0.00021362
0.375	-0.00247192	-0.00811768	0.00015259
0.400	-0.00247192	-0.00805664	0.00012207
0.425	-0.00247192	-0.00808716	0.00015259
0.450	-0.00247192	-0.00805664	0.00012207
0.475	-0.00241089	-0.00808716	0.00012207
0.500	-0.00247192	-0.00808716	0.00015259
0.525	-0.00250244	-0.00808716	0.00012207
0.550	-0.00247192	-0.00805664	0.00018311
0.575	-0.00250244	-0.00811768	0.00015259
0.600	-0.00247192	-0.00811768	0.00021362
0.625	-0.00250244	-0.00808716	0.00012207
0.650	-0.00250244	-0.00808716	0.00015259
0.675	-0.00247192	-0.00808716	0.00018311
0.700	-0.00247192	-0.00808716	0.00021362
0.725	-0.00256348	-0.00808716	0.00018311
0.750	-0.00247192	-0.00811768	0.00012207
0.775	-0.00250244	-0.00805664	0.00018311
0.800	-0.00250244	-0.00808716	0.00012207
0.825	-0.00253296	-0.00811768	0.00021362
0.850	-0.00244141	-0.00808716	0.00012207
0.875	-0.00250244	-0.00814819	0.00015259
0.900	-0.00250244	-0.00808716	0.00015259
0.925	-0.00247192	-0.00811768	0.00018311
0.950	-0.00250244	-0.00808716	0.00012207
0.975	-0.00253296	-0.00811768	0.00012207
1.000	-0.00250244	-0.00808716	0.00012207
1.025	-0.00250244	-0.00808716	0.00012207
1.050	-0.00247192	-0.00811768	0.00024414
1.075	-0.00247192	-0.00811768	0.00015259
1.100	-0.00247192	-0.00814819	0.00006104
1.125	-0.00247192	-0.00805664	0.00015259
1.150	-0.00250244	-0.00808716	0.00015259
1.175	-0.00247192	-0.00811768	0.00018311
1.200	-0.00250244	-0.00808716	0.00015259
1.225	-0.00247192	-0.00811768	0.00015259
1.250	-0.00253296	-0.00808716	0.00012207
1.275	-0.00247192	-0.00808716	0.00012207
1.300	-0.00253296	-0.00808716	0.00018311
1.325	-0.00247192	-0.00811768	0.00015259
1.350	-0.00250244	-0.00808716	0.00018311
1.375	-0.00250244	-0.00811768	0.00018311
1.400	-0.00253296	-0.00805664	0.00015259
1.425	-0.00250244	-0.00808716	0.00012207
1.450	-0.00250244	-0.00808716	0.00012207
1.475	-0.00253296	-0.00808716	0.00009155
1.500	-0.00253296	-0.00805664	0.00015259
1.525	-0.00250244	-0.00808716	0.00012207
1.550	-0.00253296	-0.00808716	0.00012207
1.575	-0.00250244	-0.00805664	0.00003052
1.600	-0.00247192	-0.00805664	0.00015259
1.625	-0.00247192	-0.00808716	0.00012207
1.650	-0.00250244	-0.00811768	0.00018311
1.675	-0.00253296	-0.00808716	0.00018311
1.700	-0.00247192	-0.00808716	0.00015259
1.725	-0.00244141	-0.00814819	0.00015259
1.750	-0.00247192	-0.00808716	0.00015259
1.775	-0.00247192	-0.00814819	0.00021362
1.800	-0.00244141	-0.00805664	0.00018311
1.825	-0.00253296	-0.00811768	0.00015259
1.850	-0.00250244	-0.00811768	0.00018311
1.875	-0.00253296	-0.00808716	0.00015259
1.900	-0.00238037	-0.00814819	0.00018311
1.925	-0.00247192	-0.00811768	0.00015259
1.950	-0.00250244	-0.00817871	0.00012207
1.975	-0.00253296	-0.00808716	0.00015259
2.000	-0.00253296	-0.00808716	0.00018311
2.025	-0.00244141	-0.00811768	0.00018311
2.050	-0.00250244	-0.00811768	0.00015259
2.075	-0.00247192	-0.00808716	0.00015259
2.100	-0.00256348	-0.00811768	0.00015259
2.125	-0.00253296	-0.00805664	0.00015259
2.150	-0.00250244	-0.00811768	0.00018311
2.175	-0.00244141	-0.00808716	0.00015259
2.200	-0.00250244	-0.00808716	0.00018311
2.225	-0.00250244	-0.00811768	0.00018311
2.250	-0.00253296	-0.00811768	0.00015259
2.275	-0.00253296	-0.00808716	0.00012207
2.300	-0.00247192	-0.00808716	0.00018311
2.325	-0.00250244	-0.00811768	0.00009155
2.350	-0.00250244	-0.00814819	0.00018311
2.375	-0.00250244	-0.00808716	0.00021362
2.400	-0.00247192	-0.00808716	0.00012207
2.425	-0.00253296	-0.00808716	0.00009155
2.450	-0.00250244	-0.00808716	0.00015259
2.475	-0.00247192	-0.00808716	0.00012207
2.500	-0.00253296	-0.00808716	0.00018311
2.525	-0.00256348	-0.00805664	0.00018311
2.550	-0.00250244	-0.00811768	0.00015259
2.575	-0.00247192	-0.00808716	0.00018311
2.600	-0.00250244	-0.00814819	0.00015259
2.625	-0.00247192	-0.00802612	0.00012207
2.650	-0.00244141	-0.00808716	0.00015259
2.675	-0.00241089	-0.00808716	0.00021362
2.700	-0.00253296	-0.00808716	0.00015259
2.725	-0.00250244	-0.00811768	0.00012207
2.750	-0.00250244	-0.00814819	0.00024414
2.775	-0.00244141	-0.00808716	0.00015259
2.800	-0.00247192	-0.00811768	0.00021362
2.825	-0.00244141	-0.00808716	0.00012207
2.850	-0.00253296	-0.00808716	0.00018311
2.875	-0.00247192	-0.00805664	0.00024414
2.900	-0.00250244	-0.00808716	0.00015259
2.925	-0.00247192	-0.00808716	0.00012207
2.950	-0.00247192	-0.00814819	0.00024414
